customer_id,first_name,last_name,gender,birth_date,email,phone,city,country,profession,risk_level
23,Christophe,Dupont,M,1966-07-21,stephanie05@example.org,+33 2 41 58 69 23,Schmitt,Côte d'Ivoire,Médecin,LOW
24,Olivie,Laurent,F,1957-10-13,sabine63@example.com,+33 2 45 60 73 37,Schneider,Côte d'Ivoire,Avocat,LOW
25,Henriette,Hubert,F,1947-03-10,andreeboulanger@example.com,+33 (0)4 30 58 68 50,Sainte Joseph-la-Forêt,Côte d'Ivoire,Ingénieur,LOW
26,Alfred,Nicolas,M,1986-03-04,ubarre@example.com,02 49 69 34 06,Saint Aimée,Côte d'Ivoire,Comptable,LOW
27,Martin,Muller,M,1990-10-11,laurence51@example.net,0467656482,De Oliveira,Côte d'Ivoire,Commerçant,MEDIUM
28,Monique,Labbé,F,1996-06-26,laetitiacolas@example.com,01 30 44 36 99,Turpin,Côte d'Ivoire,Commerçant,LOW
29,Simone,Pichon,F,1991-07-21,daniellereynaud@example.net,+33 2 31 48 95 13,Jean,Côte d'Ivoire,Informaticien,LOW
30,Eugène,Caron,M,1947-03-29,moulinchristelle@example.net,+33 (0)6 32 69 36 76,Caron,Côte d'Ivoire,Commerçant,MEDIUM
31,Adèle,Hamel,F,2004-02-17,merleaudrey@example.org,+33 6 36 08 31 72,Martineauboeuf,Côte d'Ivoire,Entrepreneur,LOW
32,Simone,Raymond,F,2001-01-14,clevy@example.org,06 24 34 87 34,Garnier-la-Forêt,Côte d'Ivoire,Comptable,LOW
33,Georges,Maillard,M,1968-06-06,elodie12@example.org,+33 5 31 23 16 65,Turpinnec,Côte d'Ivoire,Avocat,LOW
34,Antoine,Leclerc,M,2002-04-03,xperrier@example.net,+33 (0)5 19 70 54 66,Letellier-sur-Mer,Côte d'Ivoire,Enseignant,LOW
35,Patrick,Vasseur,M,1964-02-24,bvallee@example.com,0553272980,AllainVille,Côte d'Ivoire,Banquier,LOW
36,Aurélie,Weiss,F,1974-09-29,celinavidal@example.org,0519537556,Chrétien,Côte d'Ivoire,Banquier,LOW
37,Paulette,Fleury,F,2002-05-23,lelievrealfred@example.net,+33 (0)4 88 31 00 33,Saint Olivier,Côte d'Ivoire,Avocat,LOW
38,Christophe,Reynaud,M,1991-02-18,thibaultmartin@example.com,0498299124,Saint Thierrynec,Côte d'Ivoire,Enseignant,LOW
39,Nicole,Auger,F,1959-01-27,allainmarie@example.net,+33 2 41 49 19 05,Gilbertboeuf,Côte d'Ivoire,Comptable,LOW
40,Antoinette,Guillou,F,1989-08-22,alexandre67@example.org,04 94 72 62 84,Tanguy-sur-Becker,Côte d'Ivoire,Médecin,LOW
41,Valérie,Turpin,F,1975-03-21,tristan31@example.com,03 81 79 96 50,Germain-les-Bains,Côte d'Ivoire,Avocat,MEDIUM
42,Patrick,Lecomte,M,1969-09-21,zacharie49@example.net,0142831367,Thierry-sur-Mer,Côte d'Ivoire,Étudiant,MEDIUM
43,Noël,Imbert,M,1994-01-06,ypons@example.org,+33 (0)4 49 36 34 95,Lenoirboeuf,Côte d'Ivoire,Médecin,LOW
44,Marcel,Vallet,M,1983-01-11,adrienne74@example.com,0372135182,Fabre,Côte d'Ivoire,Avocat,HIGH
45,Olivier,Baron,M,1994-11-19,eugene34@example.org,0327408240,Sainte Marthe,Côte d'Ivoire,Entrepreneur,LOW
46,Christophe,Diaz,M,2004-09-03,ahenry@example.net,0647752047,Saint Andréedan,Côte d'Ivoire,Enseignant,MEDIUM
47,Arnaude,Verdier,F,1988-05-29,fernandeshenri@example.net,0231318699,Jean-sur-Diallo,Côte d'Ivoire,Commerçant,LOW
48,Raymond,Gillet,M,1976-03-26,lleger@example.com,0181913341,Dupuis,Côte d'Ivoire,Enseignant,MEDIUM
49,Emmanuel,Courtois,M,1950-09-07,adrienlejeune@example.com,04 44 03 44 71,Aubry,Côte d'Ivoire,Avocat,MEDIUM
50,Thomas,Pruvost,M,1990-07-27,audreynoel@example.net,+33 2 79 42 10 24,Bouvet-sur-Colas,Côte d'Ivoire,Informaticien,MEDIUM
51,Guy,Navarro,M,1954-01-14,tlagarde@example.net,04 23 88 77 19,Sainte Nathalie,Côte d'Ivoire,Étudiant,LOW
52,Margot,Texier,F,1962-08-12,robinmichel@example.net,+33 (0)4 20 90 27 87,Arnaud,Côte d'Ivoire,Commerçant,MEDIUM
53,Stéphane,Nguyen,M,1988-10-09,erobin@example.com,04 79 51 25 67,Dupré,Côte d'Ivoire,Étudiant,LOW
54,Noémi,Samson,F,1983-01-04,de-sousaemmanuel@example.com,0474168087,Vincent-sur-Mer,Côte d'Ivoire,Informaticien,MEDIUM
55,Maryse,Loiseau,F,1997-01-19,ctoussaint@example.org,+33 4 15 82 47 71,Saint Mathilde,Côte d'Ivoire,Enseignant,LOW
56,Édouard,Langlois,M,1983-01-23,courtoisanouk@example.org,+33 2 48 71 27 48,Legros,Côte d'Ivoire,Comptable,LOW
57,Olivier,Georges,M,1962-02-28,jcourtois@example.com,+33 2 61 14 65 84,Sainte Monique,Côte d'Ivoire,Entrepreneur,LOW
58,Henri,Coste,M,1985-01-15,cgerard@example.net,04 85 58 86 75,Rocher,Côte d'Ivoire,Ingénieur,LOW
59,Georges,Masse,M,1971-08-21,philippinebouchet@example.org,0666627028,Rémy-sur-Roussel,Côte d'Ivoire,Comptable,LOW
60,Matthieu,Roussel,M,1981-05-14,ugarcia@example.org,02 96 17 45 96,Sainte Dominiquenec,Côte d'Ivoire,Étudiant,LOW
61,Hugues,Toussaint,M,1994-06-26,callard@example.net,+33 (0)3 75 43 16 11,Brun-la-Forêt,Côte d'Ivoire,Avocat,LOW
62,Alix,Lambert,F,1967-08-26,cousinagathe@example.com,02 77 38 69 22,Chevalier,Côte d'Ivoire,Commerçant,MEDIUM
63,Monique,Legendre,F,1992-01-24,coletteguillon@example.org,+33 6 35 47 40 74,BarbierBourg,Côte d'Ivoire,Commerçant,LOW
64,Simone,Barre,F,1985-07-24,lucie64@example.com,0355671369,Bruneau,Côte d'Ivoire,Comptable,LOW
65,Lucie,Bonnin,F,1965-09-01,delmasanastasie@example.com,+33 (0)1 76 97 43 95,Bousquet,Côte d'Ivoire,Ingénieur,LOW
66,Étienne,Legendre,M,1962-08-19,lorrainepereira@example.net,+33 (0)4 67 70 95 21,Millet,Côte d'Ivoire,Ingénieur,LOW
67,Patricia,Roger,F,1959-03-29,simonegimenez@example.com,0320474517,Saint Olivie-sur-Mer,Côte d'Ivoire,Enseignant,LOW
68,Yves,Ramos,M,1991-06-21,xpascal@example.org,01 44 48 17 54,Weber-sur-Diaz,Côte d'Ivoire,Avocat,LOW
69,Michelle,Nicolas,F,1991-07-02,charlottelaurent@example.net,0367174612,Saint Thibaut,Côte d'Ivoire,Médecin,LOW
70,Paul,Ferreira,M,1952-03-10,elisedufour@example.com,04 99 86 92 61,Chauvetnec,Côte d'Ivoire,Enseignant,LOW
71,Guillaume,David,M,1992-07-20,martin77@example.org,0238585064,Rivière,Côte d'Ivoire,Ingénieur,LOW
72,Michel,Robin,M,1990-09-05,lucyriou@example.net,+33 (0)1 76 53 29 31,Guillaume-sur-Mer,Côte d'Ivoire,Enseignant,MEDIUM
73,Gabriel,Boulanger,M,1998-04-10,simonegodard@example.org,0277284210,Garcia,Côte d'Ivoire,Médecin,LOW
74,Martine,Gomez,F,1985-08-25,alfred24@example.org,+33 5 62 81 17 75,AllainBourg,Côte d'Ivoire,Commerçant,MEDIUM
75,Maurice,Gaudin,M,1960-08-26,petitjeansabine@example.net,0633007661,Mendèsdan,Côte d'Ivoire,Médecin,LOW
76,Arnaude,Faure,F,1967-07-01,christophemarchand@example.com,0524984789,PerrinBourg,Côte d'Ivoire,Étudiant,MEDIUM
77,Gabrielle,Perret,F,1976-04-21,antoinettemaillot@example.com,05 58 15 65 45,Torres,Côte d'Ivoire,Étudiant,LOW
78,Thérèse,Mercier,F,1951-10-14,morinaurore@example.org,0256809885,Sainte Adriennenec,Côte d'Ivoire,Médecin,LOW
79,André,Hervé,M,1986-06-08,adrienne19@example.net,+33 2 96 73 15 85,Sainte Henriette-sur-Mer,Côte d'Ivoire,Ingénieur,LOW
80,Marcel,Guilbert,M,1997-10-19,raynaudmargaux@example.net,0155244550,Meunier,Côte d'Ivoire,Comptable,LOW
81,Noémi,Muller,F,1955-03-26,robinoceane@example.net,+33 5 17 67 52 54,Diallo,Côte d'Ivoire,Avocat,MEDIUM
82,Roland,Godard,M,1951-05-11,meyerhugues@example.net,+33 (0)2 29 47 67 97,Maillard-sur-Mer,Côte d'Ivoire,Ingénieur,HIGH
83,Pierre,Noël,M,1969-01-24,smasson@example.net,04 66 03 69 00,Hernandez,Côte d'Ivoire,Médecin,LOW
84,Franck,Gosselin,M,1954-11-30,stephane51@example.org,05 79 22 68 38,Larocheboeuf,Côte d'Ivoire,Commerçant,LOW
85,Auguste,Chauvin,M,2004-03-21,nguyenalfred@example.com,+33 (0)4 69 96 96 64,Sainte Alphonseboeuf,Côte d'Ivoire,Entrepreneur,LOW
86,Émile,Maurice,M,1976-11-19,emmanuel61@example.org,05 47 81 64 53,Merle,Côte d'Ivoire,Banquier,LOW
87,Denise,Garnier,F,1980-04-25,laportedanielle@example.org,0488231243,Marion,Côte d'Ivoire,Étudiant,LOW
88,Colette,Samson,F,1997-03-27,schmittpenelope@example.net,06 36 99 79 95,Fernandes,Côte d'Ivoire,Commerçant,LOW
89,Matthieu,Mercier,M,1977-06-27,tlefort@example.com,+33 (0)4 89 81 47 70,Sainte Véronique,Côte d'Ivoire,Étudiant,LOW
90,Guy,Garnier,M,1989-06-12,bonneaujeannine@example.net,06 35 98 07 93,Texier,Côte d'Ivoire,Ingénieur,LOW
91,Noël,Charrier,M,1955-11-04,lebretonfrancois@example.com,+33 (0)3 24 03 77 88,Leroux-sur-Marchal,Côte d'Ivoire,Enseignant,LOW
92,Michelle,Carre,F,1971-12-10,vbecker@example.net,+33 (0)4 80 15 18 64,Ramos,Côte d'Ivoire,Médecin,MEDIUM
93,Vincent,Marion,M,2005-01-01,xavierfaure@example.net,+33 4 88 46 29 14,Malletboeuf,Côte d'Ivoire,Commerçant,LOW
94,Christophe,Leconte,M,1993-05-27,imbertmarguerite@example.com,0146542357,Jean,Côte d'Ivoire,Informaticien,MEDIUM
95,Christine,Meyer,F,1950-10-29,camille18@example.net,+33 (0)4 81 92 96 22,Jacquot,Côte d'Ivoire,Entrepreneur,HIGH
96,Thierry,Gaillard,M,1994-08-27,abertrand@example.com,+33 5 96 94 73 83,Lelièvre,Côte d'Ivoire,Avocat,LOW
97,Étienne,Tessier,M,1991-09-26,xpinto@example.com,05 61 23 92 40,GuichardBourg,Côte d'Ivoire,Médecin,LOW
98,Raymond,Denis,M,1964-12-22,ledouxisaac@example.com,02 78 61 37 50,Vincentnec,Côte d'Ivoire,Avocat,LOW
99,Camille,Besson,F,1961-08-15,xfaure@example.org,+33 (0)4 72 15 22 04,Grenier-les-Bains,Côte d'Ivoire,Entrepreneur,LOW
100,Sylvie,Pons,F,1987-06-14,chevalieralfred@example.com,+33 2 79 89 86 14,Hernandez,Côte d'Ivoire,Commerçant,LOW
101,Chantal,Rousseau,F,1961-10-20,yriou@example.net,01 83 17 98 08,Guillot-sur-Wagner,Côte d'Ivoire,Avocat,LOW
102,David,Klein,M,1974-10-14,bonneauadrienne@example.org,03 44 18 51 88,GuillouVille,Côte d'Ivoire,Enseignant,LOW
103,Nath,Lelièvre,F,1948-07-16,qbesson@example.net,+33 (0)4 91 15 31 95,Bertrand,Côte d'Ivoire,Ingénieur,LOW
104,Joseph,Morvan,M,1968-08-12,veroniquemerle@example.net,06 95 22 17 04,Bertrand,Côte d'Ivoire,Étudiant,LOW
105,Émilie,Dupont,F,1967-01-20,denise68@example.com,0164345054,Sainte Bernadettenec,Côte d'Ivoire,Avocat,MEDIUM
106,Matthieu,Collin,M,1968-08-24,colettejacquot@example.com,0415161692,Cousinboeuf,Côte d'Ivoire,Enseignant,LOW
107,Bernard,Chevalier,M,1967-11-22,thibault79@example.net,03 21 75 70 59,ParisVille,Côte d'Ivoire,Avocat,LOW
108,Astrid,Leconte,F,1988-12-16,gmarchal@example.net,+33 1 56 29 70 21,Merle,Côte d'Ivoire,Entrepreneur,LOW
109,Mathilde,Étienne,F,1971-08-18,texierhonore@example.net,04 99 57 19 28,Chauvin,Côte d'Ivoire,Médecin,LOW
110,Margaux,Delahaye,F,1964-07-16,gabrielmichel@example.net,+33 8 08 68 14 47,Raymond,Côte d'Ivoire,Ingénieur,MEDIUM
111,Guy,Lemonnier,M,2007-12-11,hbourgeois@example.org,+33 (0)6 30 27 15 51,Allard-la-Forêt,Côte d'Ivoire,Commerçant,LOW
112,Lucy,Barbier,F,1994-01-06,stephanieetienne@example.net,+33 2 52 32 37 05,Baudryboeuf,Côte d'Ivoire,Avocat,MEDIUM
113,Suzanne,Courtois,F,1954-05-29,francoisthierry@example.com,05 56 69 12 51,Turpinboeuf,Côte d'Ivoire,Entrepreneur,MEDIUM
114,Christophe,Valette,M,1983-02-03,paulinedumont@example.com,+33 (0)2 53 82 42 25,Perrot,Côte d'Ivoire,Médecin,HIGH
115,Raymond,Jacquet,M,2003-02-21,deschampslouis@example.net,0254498182,Blin-sur-Brunet,Côte d'Ivoire,Banquier,LOW
116,Denise,Delmas,F,1988-01-27,zoe90@example.org,+33 (0)1 74 94 39 69,Sainte Lorraine,Côte d'Ivoire,Banquier,MEDIUM
117,Richard,Charpentier,M,1989-04-04,christine36@example.com,02 21 02 76 77,Leblanc,Côte d'Ivoire,Étudiant,LOW
118,Thibaut,Meunier,M,1966-11-06,nath56@example.org,0244537147,Blanchard,Côte d'Ivoire,Banquier,MEDIUM
119,Brigitte,Girard,F,1965-04-29,achauvet@example.org,+33 4 76 95 32 78,Didier-la-Forêt,Côte d'Ivoire,Commerçant,LOW
120,Zoé,Simon,F,1951-09-15,dbodin@example.org,+33 4 89 00 47 97,Regnier,Côte d'Ivoire,Comptable,LOW
121,Aimé,Nicolas,M,1974-11-25,remypetitjean@example.com,04 97 06 09 83,Lenoir,Côte d'Ivoire,Commerçant,LOW
122,Guy,Legrand,M,1971-11-13,jsalmon@example.com,+33 (0)2 55 16 55 85,Philippe,Côte d'Ivoire,Banquier,LOW
123,Thibaut,Grégoire,M,1972-11-21,lambertauguste@example.org,0668729825,Julien-sur-Goncalves,Côte d'Ivoire,Étudiant,LOW
124,Nathalie,Chauvet,F,1995-11-20,jeanne58@example.net,04 57 70 55 16,Le Gall-sur-Pages,Côte d'Ivoire,Avocat,LOW
125,Thomas,Michel,M,1986-03-13,paubry@example.net,+33 1 77 97 28 96,Bazin,Côte d'Ivoire,Enseignant,MEDIUM
126,Jacqueline,David,F,1984-07-16,aubertalfred@example.com,0561263689,GuyonVille,Côte d'Ivoire,Médecin,LOW
127,Christine,Paul,F,1959-09-08,margaud78@example.com,0324785854,Guillet-sur-Olivier,Côte d'Ivoire,Ingénieur,LOW
128,Jeanne,Lopes,F,1983-07-22,maurice44@example.net,+33 7 55 75 84 41,Labbé-sur-Devaux,Côte d'Ivoire,Comptable,MEDIUM
129,Monique,Delaunay,F,2001-04-07,penelope24@example.org,0228574733,Dupuy-la-Forêt,Côte d'Ivoire,Banquier,LOW
130,Daniel,Nicolas,M,1987-06-22,patrickgirard@example.net,+33 3 73 01 65 71,Thomas,Côte d'Ivoire,Banquier,MEDIUM
131,Robert,Barbier,M,1973-04-07,pmartel@example.org,0473401938,Saint Arnaude,Côte d'Ivoire,Étudiant,LOW
132,Dorothée,Da Silva,F,2002-06-24,lcosta@example.net,0169049915,De Sousa,Côte d'Ivoire,Ingénieur,LOW
133,Tristan,Devaux,M,1981-04-04,glucas@example.com,0352152742,Sainte Sophie,Côte d'Ivoire,Comptable,LOW
134,Lucie,Duhamel,F,1991-06-21,jeromebourdon@example.net,05 65 85 16 12,Martel,Côte d'Ivoire,Entrepreneur,LOW
135,Isaac,Menard,M,1946-01-15,alice37@example.com,0458990453,Saint Chantal,Côte d'Ivoire,Étudiant,LOW
136,Manon,Leroux,F,1973-03-01,marie14@example.com,+33 3 66 27 27 95,Boutindan,Côte d'Ivoire,Comptable,LOW
137,Gabrielle,Ledoux,F,1962-06-01,lainecaroline@example.net,0223910883,Regnier-sur-Gérard,Côte d'Ivoire,Avocat,LOW
138,Danielle,Millet,F,2003-09-22,rferreira@example.org,02 34 87 07 28,PineauVille,Côte d'Ivoire,Banquier,LOW
139,Roger,Pinto,M,1991-05-11,monique06@example.com,+33 (0)3 65 91 06 51,LopezBourg,Côte d'Ivoire,Entrepreneur,LOW
140,Sylvie,David,F,1965-02-10,xarnaud@example.org,05 16 67 66 18,Guibert,Côte d'Ivoire,Avocat,MEDIUM
141,Marine,Lemaire,F,1957-09-20,ievrard@example.net,+33 1 34 04 78 68,Rolland-sur-Mer,Côte d'Ivoire,Étudiant,LOW
142,Suzanne,Perrot,F,1956-02-18,laurent10@example.net,01 45 33 11 90,JosephVille,Côte d'Ivoire,Informaticien,LOW
143,Gérard,Traore,M,1948-08-02,onavarro@example.net,+33 1 79 28 43 95,Joseph-sur-Leleu,Côte d'Ivoire,Avocat,LOW
144,Yves,Lebrun,M,1961-09-12,guy83@example.com,0426089268,Rousseauboeuf,Côte d'Ivoire,Enseignant,LOW
145,Monique,Hardy,F,1967-04-08,jlejeune@example.com,03 39 87 33 42,Boyernec,Côte d'Ivoire,Enseignant,MEDIUM
146,Marc,Pascal,M,1981-08-23,amelieberger@example.com,+33 4 78 17 51 83,Sainte Alexandria,Côte d'Ivoire,Étudiant,LOW
147,Yves,Texier,M,1986-08-09,legrandlaurent@example.net,+33 6 95 35 40 33,Sainte Patrick-sur-Mer,Côte d'Ivoire,Médecin,LOW
148,Louis,Dupuis,M,1983-02-23,philippine46@example.com,0466458771,Samsonboeuf,Côte d'Ivoire,Informaticien,LOW
149,François,Lemaître,M,1966-11-14,klambert@example.org,+33 1 45 48 99 64,Pierre,Côte d'Ivoire,Informaticien,LOW
150,Jacques,Rolland,M,1971-06-04,colettedias@example.net,0388777252,Fouquet,Côte d'Ivoire,Banquier,LOW
151,Richard,Camus,M,1958-02-06,hardyarthur@example.org,+33 (0)1 40 62 31 20,Bodin,Côte d'Ivoire,Médecin,LOW
152,Michel,Besson,M,1949-09-09,fdelmas@example.org,+33 (0)5 56 00 84 84,Sainte Susan,Côte d'Ivoire,Enseignant,MEDIUM
153,Emmanuel,Gautier,M,2008-01-19,hardyhenri@example.org,+33 3 86 54 61 56,Moreno-sur-Mer,Côte d'Ivoire,Médecin,MEDIUM
154,Hélène,Ribeiro,F,1992-02-15,guibertmanon@example.org,+33 (0)5 53 66 87 00,Perez,Côte d'Ivoire,Ingénieur,LOW
155,Paul,Gay,M,1989-06-18,genevieve18@example.org,+33 3 62 97 40 14,ThibaultVille,Côte d'Ivoire,Informaticien,LOW
156,Dorothée,Gomes,F,1946-08-23,jacquelinemeunier@example.net,02 23 42 93 96,Rémynec,Côte d'Ivoire,Avocat,HIGH
157,Christine,Lagarde,F,1994-11-09,charriernoemi@example.com,+33 (0)2 38 63 15 99,Chauvin-sur-Becker,Côte d'Ivoire,Informaticien,LOW
158,Marguerite,Martinez,F,1988-09-23,sabine77@example.org,0517629619,Hoarau,Côte d'Ivoire,Avocat,LOW
159,Auguste,Perez,M,1963-10-24,alexmendes@example.net,+33 5 34 55 11 04,Alves-la-Forêt,Côte d'Ivoire,Informaticien,LOW
160,Bernard,Payet,M,1951-07-08,aurorepons@example.net,02 41 01 58 19,Germain-sur-Collin,Côte d'Ivoire,Étudiant,MEDIUM
161,Agathe,Klein,F,1973-09-26,fmerle@example.net,+33 3 22 62 24 44,RodriguesBourg,Côte d'Ivoire,Commerçant,LOW
162,Émile,Gay,M,1964-05-10,eribeiro@example.org,0385379937,Saint ThibautVille,Côte d'Ivoire,Étudiant,LOW
163,Nicole,Le Roux,F,2002-11-06,cboulanger@example.com,02 61 45 93 75,Chauvin,Côte d'Ivoire,Comptable,MEDIUM
164,Hugues,Klein,M,1995-08-02,ybruneau@example.org,0517465193,Morvan-sur-Arnaud,Côte d'Ivoire,Médecin,LOW
165,Alexandrie,Petitjean,F,1976-12-27,brigitteklein@example.net,+33 (0)5 55 72 43 42,HoareauBourg,Côte d'Ivoire,Médecin,MEDIUM
166,Maurice,Joseph,M,1978-03-10,gjoubert@example.net,01 64 58 91 13,Brun,Côte d'Ivoire,Banquier,LOW
167,Amélie,Thibault,F,1989-06-21,vchretien@example.com,+33 (0)1 42 14 38 88,Lagarde-sur-Bruneau,Côte d'Ivoire,Banquier,LOW
168,Geneviève,Cohen,F,1971-01-13,xbarthelemy@example.net,+33 4 85 07 14 61,Saint Adèle-la-Forêt,Côte d'Ivoire,Banquier,MEDIUM
169,Jean,Pineau,M,1998-12-12,dorotheeguillet@example.com,02 37 77 51 40,Saint Claudeboeuf,Côte d'Ivoire,Entrepreneur,LOW
170,Tristan,Nicolas,M,1991-08-28,nicoleberger@example.net,+33 2 98 58 67 36,Lemoine,Côte d'Ivoire,Comptable,LOW
171,Philippine,Delaunay,F,1947-07-25,catherineallain@example.com,01 39 33 41 91,Lemoineboeuf,Côte d'Ivoire,Banquier,LOW
172,Isaac,Pierre,M,1976-09-17,charlesmarguerite@example.com,0533969155,Maurice-les-Bains,Côte d'Ivoire,Informaticien,LOW
173,Lucy,Bonneau,F,1985-09-26,mailletgregoire@example.com,+33 (0)3 79 41 25 28,Humbert-les-Bains,Côte d'Ivoire,Informaticien,LOW
174,Nathalie,Briand,F,1958-03-20,ibousquet@example.net,+33 3 21 74 22 57,Vincent-sur-Pelletier,Côte d'Ivoire,Banquier,MEDIUM
175,Adrienne,Vallée,F,1954-11-13,sylviejacob@example.net,05 55 76 77 21,Martinez-sur-Samson,Côte d'Ivoire,Médecin,HIGH
176,Frédéric,Klein,M,1947-10-20,maurice84@example.org,07 88 81 91 48,Allard,Côte d'Ivoire,Banquier,LOW
177,Alphonse,Samson,M,1994-07-03,nmorvan@example.com,+33 (0)3 83 40 74 51,Lemaire-sur-Mer,Côte d'Ivoire,Enseignant,LOW
178,François,Gallet,M,1985-08-01,mathilde96@example.org,+33 3 59 30 95 84,Tanguy-sur-Roy,Côte d'Ivoire,Informaticien,LOW
179,Margot,Fischer,F,1965-06-28,henriette48@example.net,+33 (0)2 61 60 42 23,Mendès,Côte d'Ivoire,Banquier,LOW
180,Margot,Hoarau,F,1997-05-24,jcamus@example.net,0558671168,Lemonnier,Côte d'Ivoire,Comptable,LOW
181,Michèle,De Sousa,F,1978-10-15,ines01@example.net,04 92 18 63 63,Royerboeuf,Côte d'Ivoire,Étudiant,MEDIUM
182,Lorraine,Marques,F,1982-10-27,genevievevallee@example.com,+33 (0)1 74 17 01 27,Martinnec,Côte d'Ivoire,Étudiant,MEDIUM
183,Émilie,Lagarde,F,2007-06-18,manonhernandez@example.org,0235541520,Toussaint-la-Forêt,Côte d'Ivoire,Ingénieur,MEDIUM
184,Gabriel,Gilbert,M,1990-03-08,fischeretienne@example.org,+33 6 81 29 38 70,Sainte Thérèse,Côte d'Ivoire,Comptable,LOW
185,Charles,Briand,M,1992-10-21,christianeguerin@example.org,02 33 11 55 42,Becker-les-Bains,Côte d'Ivoire,Ingénieur,MEDIUM
186,Tristan,Labbé,M,1955-04-19,laportegenevieve@example.org,+33 5 90 53 26 97,Fernandez,Côte d'Ivoire,Commerçant,MEDIUM
187,Benoît,Joly,M,1996-10-12,pruvostnathalie@example.com,0567523413,Brunel-la-Forêt,Côte d'Ivoire,Commerçant,LOW
188,Alexandre,Delmas,M,2005-03-05,lucas89@example.net,+33 5 35 40 37 61,Didier,Côte d'Ivoire,Entrepreneur,MEDIUM
189,Arnaude,Evrard,F,2006-01-20,alvestimothee@example.org,05 62 58 27 10,Mercier-sur-Garcia,Côte d'Ivoire,Étudiant,MEDIUM
190,Gilles,Fabre,M,1948-04-14,chauvincorinne@example.com,05 63 61 88 92,Perez,Côte d'Ivoire,Entrepreneur,LOW
191,Honoré,Chevalier,M,1980-05-15,susanmeyer@example.net,0535914630,Fernandez,Côte d'Ivoire,Médecin,HIGH
192,Martin,Ferreira,M,1976-06-05,ruizmargot@example.net,+33 2 51 02 02 75,Blondel-la-Forêt,Côte d'Ivoire,Entrepreneur,LOW
193,Danielle,Guichard,F,1954-03-19,nath10@example.com,04 23 81 49 17,Grosboeuf,Côte d'Ivoire,Entrepreneur,LOW
