account_id,customer_id,account_number,account_type,currency,balance,open_date,status
41,24,9324808613171274846773,SAVINGS,XOF,8161152.42,2024-05-06,CLOSED
42,25,82639821465840449972787,SAVINGS,XOF,1288272.69,2022-06-12,ACTIVE
43,25,58867533963605766270289,CHECKING,XOF,2654241.01,2022-03-22,ACTIVE
44,25,17187026217459615865780,CHECKING,XOF,2121923.06,2017-09-27,ACTIVE
45,26,34316117240050455623869,SAVINGS,XOF,7130924.98,2019-08-21,ACTIVE
46,26,22196937923747407482175,SAVINGS,XOF,3737337.92,2026-07-28,ACTIVE
47,26,46474367136959440640909,CHECKING,XOF,2482816.61,2025-01-09,ACTIVE
48,27,43953394210470952145623,CHECKING,XOF,2304996.75,2018-10-28,ACTIVE
49,28,85884247451712368516048,SAVINGS,XOF,593443.3,2018-09-04,ACTIVE
50,29,75496513709859317461200,SAVINGS,XOF,713219.21,2021-10-02,ACTIVE
51,30,71138267586926179640537,CHECKING,XOF,5394643.14,2024-02-21,ACTIVE
52,30,35158506431713900532931,SAVINGS,XOF,5764235.44,2026-01-01,ACTIVE
53,30,39335290422842102053950,CHECKING,XOF,4073564.32,2019-07-16,ACTIVE
54,31,40268117758917839084700,CHECKING,XOF,4238668.34,2024-09-21,ACTIVE
55,31,66177115921249985698478,SAVINGS,XOF,6735278.65,2023-11-23,CLOSED
56,31,11836736576615654527111,CHECKING,XOF,4029199.71,2018-02-28,ACTIVE
57,32,61528098851656049451983,CHECKING,XOF,1906138.04,2019-03-17,ACTIVE
58,33,73158514936899809402445,CHECKING,XOF,4628967.54,2022-07-19,ACTIVE
59,33,2296120183667525459910,CHECKING,XOF,8081182.34,2019-03-22,ACTIVE
60,34,29014767976438156149784,CHECKING,XOF,9992828.27,2017-05-07,ACTIVE
61,35,36900343244510762268388,BUSINESS,XOF,8487713.87,2022-08-07,ACTIVE
62,36,16060715969664160529751,CHECKING,XOF,8647180.69,2024-01-02,ACTIVE
63,36,13696816453521818835523,CHECKING,XOF,26543.01,2018-04-28,ACTIVE
64,37,24329212779979955271774,CHECKING,XOF,6967432.08,2021-03-31,ACTIVE
65,37,90581477005411998679807,SAVINGS,XOF,6620403.76,2026-04-20,ACTIVE
66,38,35978207151820377889255,CHECKING,XOF,9687250.1,2021-05-21,ACTIVE
67,39,66590515186449251925462,CHECKING,XOF,3139480.07,2018-01-06,ACTIVE
68,39,48652816850542357332214,CHECKING,XOF,9194274.37,2018-04-18,ACTIVE
69,39,88805929622292706537947,CHECKING,XOF,5080745.83,2020-07-22,ACTIVE
70,40,83473597746886239240758,CHECKING,XOF,6753749.47,2018-04-27,ACTIVE
71,41,81412478261375060685361,BUSINESS,XOF,5698905.72,2022-12-14,ACTIVE
72,42,30515220472779010432898,SAVINGS,XOF,4195153.03,2023-10-11,ACTIVE
73,43,14341036971179808932460,CHECKING,XOF,2611353.13,2022-07-30,ACTIVE
74,43,39621851888880670654051,CHECKING,XOF,2659817.05,2022-06-10,ACTIVE
75,43,31952058527722170430305,SAVINGS,XOF,4574959.6,2021-11-06,BLOCKED
76,44,86874034505415667652775,CHECKING,XOF,6213486.76,2025-05-29,ACTIVE
77,45,41616928451154479627570,CHECKING,XOF,2135477.35,2022-07-28,ACTIVE
78,46,96401658202970213556909,SAVINGS,XOF,8793306.07,2019-03-09,ACTIVE
79,46,75571928565431027868144,CHECKING,XOF,8338280.82,2024-03-02,ACTIVE
80,47,39473121727155188442258,BUSINESS,XOF,8071963.93,2020-05-22,ACTIVE
81,47,13237058957829114678669,SAVINGS,XOF,5548249.81,2017-10-30,BLOCKED
82,47,25177852892268018242253,CHECKING,XOF,8781879.01,2022-06-18,ACTIVE
83,48,84143842498182992299590,SAVINGS,XOF,1558701.86,2017-01-21,ACTIVE
84,49,10943969078447364710276,SAVINGS,XOF,2039955.14,2024-10-24,ACTIVE
85,50,73592555625881537147321,CHECKING,XOF,2514956.91,2017-06-08,ACTIVE
86,50,46963259532787747016873,CHECKING,XOF,6344673.05,2020-03-26,ACTIVE
87,51,95004797480162456506098,CHECKING,XOF,7712336.63,2019-11-20,ACTIVE
88,52,58416878499121655852398,CHECKING,XOF,4421145.94,2023-05-28,ACTIVE
89,52,80002578729825952694958,CHECKING,XOF,1123179.44,2025-03-31,BLOCKED
90,53,87947055169409749930972,BUSINESS,XOF,5458174.94,2025-06-29,ACTIVE
91,53,96230913075626368970283,CHECKING,XOF,1485197.39,2026-02-12,ACTIVE
92,53,57865278585497334843443,CHECKING,XOF,8990319.98,2024-11-22,ACTIVE
93,54,57584419866524041574733,SAVINGS,XOF,2104715.0,2025-09-26,ACTIVE
94,55,48421993308330165712082,CHECKING,XOF,5601035.77,2023-07-01,ACTIVE
95,56,77345401938026206724004,SAVINGS,XOF,9258009.41,2026-03-28,ACTIVE
96,56,91547887287431527420549,CHECKING,XOF,7999870.86,2019-11-11,ACTIVE
97,56,29668516122753046374549,CHECKING,XOF,1797709.83,2026-04-27,BLOCKED
98,57,4530174268414593327279,SAVINGS,XOF,8641319.96,2022-12-06,ACTIVE
99,57,68783391878519108839822,CHECKING,XOF,7874808.22,2022-02-26,ACTIVE
100,58,87139718707286790874064,SAVINGS,XOF,2228225.01,2016-08-16,ACTIVE
101,59,39106518017046226567661,CHECKING,XOF,8206261.13,2025-10-01,ACTIVE
102,59,25128682300478686337524,CHECKING,XOF,6602031.66,2019-10-13,ACTIVE
103,60,10690331190790306738302,SAVINGS,XOF,9669056.59,2025-02-23,ACTIVE
104,60,43959953428364408926870,SAVINGS,XOF,3999785.45,2022-06-08,CLOSED
105,61,68566246287334270866882,CHECKING,XOF,280867.35,2023-03-08,ACTIVE
106,61,34351751830469901398373,CHECKING,XOF,5807994.39,2022-03-28,CLOSED
107,61,40331739363854678544587,CHECKING,XOF,5967729.69,2024-07-02,ACTIVE
108,62,17535560932048996423536,CHECKING,XOF,9842437.31,2026-04-08,ACTIVE
109,62,37854777252287280801006,SAVINGS,XOF,1904837.35,2018-11-30,ACTIVE
110,63,31203875099770088600848,CHECKING,XOF,9256123.78,2021-06-14,ACTIVE
111,63,8621182339845461567933,SAVINGS,XOF,7420791.03,2021-09-04,ACTIVE
112,64,10166687002176591803397,CHECKING,XOF,9489000.49,2021-03-09,BLOCKED
113,64,1489025039261429396856,SAVINGS,XOF,6635557.83,2018-12-15,ACTIVE
114,65,18501631599965047735866,CHECKING,XOF,6670594.58,2019-09-26,ACTIVE
115,65,96194311426265511047541,SAVINGS,XOF,5546352.71,2018-10-30,ACTIVE
116,66,12678886101581995604661,BUSINESS,XOF,6774792.86,2026-02-03,ACTIVE
117,66,39826224447212646471543,SAVINGS,XOF,3012994.0,2025-01-03,ACTIVE
118,66,99371240659657569245937,CHECKING,XOF,2872702.6,2021-12-02,ACTIVE
119,67,26547935646519398280737,SAVINGS,XOF,3225881.05,2021-07-13,ACTIVE
120,67,16724342661797968868058,SAVINGS,XOF,5114184.1,2018-01-08,ACTIVE
121,67,13529096561014388899375,BUSINESS,XOF,7360934.65,2023-03-25,ACTIVE
122,68,79825071461125457387571,CHECKING,XOF,6331243.85,2024-01-11,ACTIVE
123,68,75140105123828258673622,SAVINGS,XOF,7512625.68,2023-12-05,ACTIVE
124,69,60937966033419182553714,SAVINGS,XOF,1477802.85,2024-11-25,ACTIVE
125,70,85969691557924991251341,SAVINGS,XOF,7686050.94,2019-09-09,ACTIVE
126,70,52866929662782827422579,SAVINGS,XOF,5758830.64,2017-06-27,ACTIVE
127,71,50723688767677219034043,CHECKING,XOF,2443624.47,2025-09-20,ACTIVE
128,71,42797881914858078361340,CHECKING,XOF,7510889.94,2024-03-23,ACTIVE
129,72,45171339596292330958498,SAVINGS,XOF,2192317.16,2019-06-10,ACTIVE
130,73,54494812604223253672946,CHECKING,XOF,506932.76,2022-12-16,ACTIVE
131,73,71168457759017518636374,SAVINGS,XOF,4567335.95,2022-01-25,ACTIVE
132,73,45892975001701277063242,SAVINGS,XOF,9878985.07,2021-03-27,ACTIVE
133,74,15415206436110371293870,SAVINGS,XOF,7194143.24,2016-09-17,ACTIVE
134,74,51627136111554262218909,SAVINGS,XOF,5480980.15,2019-05-14,ACTIVE
135,75,75326973112196565234138,SAVINGS,XOF,4503447.22,2021-06-03,ACTIVE
136,75,4389836403761379180552,SAVINGS,XOF,2776726.97,2023-02-26,ACTIVE
137,75,96582710910430068486661,CHECKING,XOF,2396262.41,2025-09-14,ACTIVE
138,76,89241418328569146303161,CHECKING,XOF,2720792.5,2024-04-15,ACTIVE
139,76,99042102027588425241056,CHECKING,XOF,1388048.74,2021-03-15,ACTIVE
140,76,81491778507925241913800,SAVINGS,XOF,7065659.32,2016-10-13,ACTIVE
141,77,30756220863536541951802,CHECKING,XOF,4661913.41,2020-05-15,ACTIVE
142,77,80617445187053494937597,SAVINGS,XOF,3897820.74,2019-11-25,ACTIVE
143,78,83206038505064138367024,CHECKING,XOF,8807163.44,2018-02-27,ACTIVE
144,78,3865719182619906234456,CHECKING,XOF,9427702.87,2022-02-15,ACTIVE
145,78,57431329121277561853747,CHECKING,XOF,8916957.21,2021-01-30,ACTIVE
146,79,11249035213568044206788,SAVINGS,XOF,5463592.44,2020-10-28,ACTIVE
147,79,17121003236519941013721,CHECKING,XOF,2198119.24,2022-03-20,ACTIVE
148,79,10702966706625324472099,CHECKING,XOF,3364614.79,2020-10-03,ACTIVE
149,80,47687014626383806578759,SAVINGS,XOF,8405854.1,2025-02-13,ACTIVE
150,80,56420593040785932133480,BUSINESS,XOF,5343565.68,2020-04-22,ACTIVE
151,81,96522395590599293784270,CHECKING,XOF,275884.95,2018-02-09,ACTIVE
152,81,3930870593252500292185,CHECKING,XOF,4619675.95,2017-10-22,ACTIVE
153,81,56915452267528953926442,CHECKING,XOF,2120544.54,2019-08-07,ACTIVE
154,82,9690295939172513552157,CHECKING,XOF,9512285.18,2016-10-07,ACTIVE
155,82,43315410067626765861793,SAVINGS,XOF,4705716.83,2019-05-05,ACTIVE
156,83,71040541152621815997062,BUSINESS,XOF,3502853.64,2023-12-18,ACTIVE
157,84,20153368844431069872050,CHECKING,XOF,315144.84,2023-11-07,ACTIVE
158,84,14973103241714677418625,SAVINGS,XOF,6215249.89,2023-01-24,ACTIVE
159,84,52704774349021158693806,CHECKING,XOF,1148322.51,2025-06-19,BLOCKED
160,85,68793741608989921722332,SAVINGS,XOF,7670146.49,2017-04-20,ACTIVE
161,85,61632945116868548709986,SAVINGS,XOF,7480516.89,2018-06-28,ACTIVE
162,86,62299911914856467997024,BUSINESS,XOF,1085447.0,2023-06-06,ACTIVE
163,87,29960653074505444713247,CHECKING,XOF,9080721.38,2022-01-12,ACTIVE
164,87,46913736785082148628902,BUSINESS,XOF,1987306.12,2019-11-08,ACTIVE
165,88,30307053457861035797279,CHECKING,XOF,6973444.06,2025-12-14,ACTIVE
166,88,55241406029333346800722,SAVINGS,XOF,8056252.0,2016-09-19,ACTIVE
167,88,34944665743748969108589,CHECKING,XOF,415485.96,2021-05-20,ACTIVE
168,89,41715454443283096520744,CHECKING,XOF,5062078.09,2023-09-11,ACTIVE
169,89,66099353875842824172482,SAVINGS,XOF,8224197.53,2022-04-14,ACTIVE
170,89,13534655494717099917381,BUSINESS,XOF,6357673.14,2023-01-25,ACTIVE
171,90,84602235697252175250074,CHECKING,XOF,1765488.93,2020-02-20,ACTIVE
172,90,29271296666760083505830,SAVINGS,XOF,6161043.98,2016-08-23,ACTIVE
173,90,33542168942104478985625,SAVINGS,XOF,4651413.35,2024-11-29,ACTIVE
174,91,53260332309821506489090,CHECKING,XOF,8517873.03,2018-05-31,ACTIVE
175,91,167618472304618499261,CHECKING,XOF,8816903.68,2025-04-11,ACTIVE
176,91,91411739348356420873753,CHECKING,XOF,6105265.38,2016-08-15,ACTIVE
177,92,1197218114374470120455,CHECKING,XOF,3253516.61,2023-10-28,ACTIVE
178,93,11002255794155216674676,SAVINGS,XOF,3406686.74,2019-05-31,ACTIVE
179,93,12021697972965902771670,SAVINGS,XOF,2766304.41,2017-08-26,ACTIVE
180,94,45089935889163756289002,CHECKING,XOF,7202146.27,2025-03-05,ACTIVE
181,95,77217535408386631779717,SAVINGS,XOF,6460799.48,2024-03-06,ACTIVE
182,96,51701660880199488375503,CHECKING,XOF,2219856.02,2024-04-21,ACTIVE
183,97,58997571130554885102726,SAVINGS,XOF,3693359.4,2018-05-24,ACTIVE
184,97,49331637351609177982708,CHECKING,XOF,9966331.48,2017-05-26,ACTIVE
185,98,86978292216995866934654,SAVINGS,XOF,2712809.69,2024-04-11,ACTIVE
186,98,22698485833394522885158,CHECKING,XOF,1929880.01,2024-09-29,ACTIVE
187,99,99684608106200342442043,BUSINESS,XOF,6903184.72,2025-10-12,ACTIVE
188,99,5719838638406665800439,SAVINGS,XOF,2768613.77,2024-02-11,ACTIVE
189,99,35989334721228160648422,SAVINGS,XOF,5969923.45,2026-07-05,CLOSED
190,100,40572025909479851583281,CHECKING,XOF,3612006.29,2025-03-02,ACTIVE
191,101,26886153355543987801573,CHECKING,XOF,2746741.71,2020-09-21,CLOSED
192,101,5616484085887704358112,CHECKING,XOF,6975686.84,2025-09-22,ACTIVE
193,101,80133613861207501102481,SAVINGS,XOF,4911332.55,2026-05-10,ACTIVE
194,102,34667665061809190158144,CHECKING,XOF,4789748.52,2018-01-17,ACTIVE
195,102,47660728326842450882100,BUSINESS,XOF,2528521.51,2026-04-26,ACTIVE
196,102,96881435368222394312908,CHECKING,XOF,658107.63,2024-06-03,ACTIVE
197,103,81414139755231491357759,SAVINGS,XOF,540822.7,2021-10-10,ACTIVE
198,103,92995562053364525777547,CHECKING,XOF,3041835.94,2025-12-16,CLOSED
199,103,12914283411080996930848,CHECKING,XOF,7645612.24,2025-10-03,ACTIVE
200,104,72563942788165803928272,CHECKING,XOF,5228112.49,2019-08-16,ACTIVE
201,104,99275037314530385677005,CHECKING,XOF,8602365.82,2018-05-01,CLOSED
202,104,84498926659184638655779,CHECKING,XOF,6212168.07,2016-09-07,ACTIVE
203,105,82723184322259136517773,CHECKING,XOF,7628557.36,2019-04-26,ACTIVE
204,105,60302992280920242869904,CHECKING,XOF,816468.72,2018-01-12,ACTIVE
205,105,37977236929298425799136,CHECKING,XOF,1569543.49,2023-02-18,ACTIVE
206,106,21038862912799088117298,CHECKING,XOF,2916136.59,2016-08-05,ACTIVE
207,106,68650863765991624731498,SAVINGS,XOF,7031360.64,2023-07-12,ACTIVE
208,106,43009818063565126944869,SAVINGS,XOF,9239490.89,2022-10-18,ACTIVE
209,107,94636887258874495621372,CHECKING,XOF,8040037.27,2018-04-13,ACTIVE
210,107,38658902601279611435190,CHECKING,XOF,2251970.46,2023-02-11,ACTIVE
211,107,69849027703843098839205,CHECKING,XOF,1426651.67,2020-08-23,ACTIVE
212,108,2146566938011848955439,CHECKING,XOF,8243281.81,2019-11-19,BLOCKED
213,108,76904268181845184894769,CHECKING,XOF,4689636.21,2024-10-20,ACTIVE
214,109,35779071416335658804341,BUSINESS,XOF,5007219.41,2023-05-12,ACTIVE
215,109,51827553942373334333395,CHECKING,XOF,403408.54,2019-03-25,ACTIVE
216,110,11179080759579472846392,SAVINGS,XOF,263519.6,2017-06-30,ACTIVE
217,110,86780856271875003691559,SAVINGS,XOF,8605866.14,2020-12-28,ACTIVE
218,111,28434795527636556472929,BUSINESS,XOF,6724454.44,2020-06-18,ACTIVE
219,112,14386632270267288574489,SAVINGS,XOF,1756031.33,2017-05-21,ACTIVE
220,113,61203471754558845061593,BUSINESS,XOF,1818984.03,2026-05-22,ACTIVE
221,113,98245587716947225699611,SAVINGS,XOF,4919799.39,2019-05-01,ACTIVE
222,114,53554496475987622023413,CHECKING,XOF,3213977.27,2019-06-01,ACTIVE
223,114,61117800681149216433472,CHECKING,XOF,4119392.67,2018-10-22,ACTIVE
224,115,82005577848728299796884,BUSINESS,XOF,8136592.52,2022-06-25,ACTIVE
225,115,78317456424008254780774,CHECKING,XOF,3148598.99,2016-09-23,ACTIVE
226,115,64930853686632663416389,BUSINESS,XOF,4044729.69,2021-03-14,ACTIVE
227,116,48463122417974973502080,SAVINGS,XOF,5428222.98,2019-09-27,ACTIVE
228,117,14427031207356475705120,CHECKING,XOF,6228225.56,2021-02-08,ACTIVE
229,118,61872346013673037183764,SAVINGS,XOF,2039564.59,2022-01-26,ACTIVE
230,118,20881474350313650249163,BUSINESS,XOF,4383970.37,2016-09-22,ACTIVE
231,119,9792513271950052812735,CHECKING,XOF,6302072.66,2026-01-27,ACTIVE
232,120,57306524077848739285574,CHECKING,XOF,5510635.87,2026-01-03,ACTIVE
233,120,21827448570862095935186,CHECKING,XOF,9922610.11,2019-10-21,ACTIVE
234,120,87829456511810220317310,CHECKING,XOF,1179074.16,2026-04-16,ACTIVE
235,121,67899405391037170586509,BUSINESS,XOF,2922156.29,2021-02-04,ACTIVE
236,121,80141381138633839288619,CHECKING,XOF,4827583.27,2022-08-31,ACTIVE
237,122,76122868528975585566593,CHECKING,XOF,3838942.2,2026-02-26,BLOCKED
238,122,83684577600490824043350,CHECKING,XOF,8793865.92,2021-04-08,ACTIVE
239,123,88899210752245933441969,SAVINGS,XOF,8544851.74,2020-04-10,ACTIVE
240,123,15727919409610556613906,SAVINGS,XOF,2675390.77,2017-06-30,ACTIVE
241,124,48058925832067998136462,CHECKING,XOF,5871442.54,2018-10-28,CLOSED
242,124,51790864168622783769389,CHECKING,XOF,1490211.21,2025-06-29,ACTIVE
243,124,33146591166553559042597,CHECKING,XOF,5521414.58,2019-01-21,ACTIVE
244,125,70335211039240514770538,BUSINESS,XOF,8696668.82,2020-03-06,CLOSED
245,125,38848792069804204394070,CHECKING,XOF,3832793.64,2017-09-15,ACTIVE
246,126,64510463681579812387800,CHECKING,XOF,7448327.99,2020-10-13,ACTIVE
247,126,84576205554384046084325,SAVINGS,XOF,3863857.13,2023-04-05,ACTIVE
248,127,21689363926495782329832,BUSINESS,XOF,4955809.85,2021-10-31,ACTIVE
249,127,82629251881252056647423,CHECKING,XOF,5903853.39,2018-05-23,ACTIVE
250,127,22099499939330517289752,SAVINGS,XOF,4405860.57,2023-03-02,ACTIVE
251,128,77223306046333127975736,CHECKING,XOF,1445833.38,2023-06-18,ACTIVE
252,128,9656999880817703886086,BUSINESS,XOF,752908.34,2025-05-10,ACTIVE
253,129,3476447264908277181298,CHECKING,XOF,6928582.46,2018-11-16,ACTIVE
254,129,66570279371452111751868,SAVINGS,XOF,8524151.66,2019-04-18,ACTIVE
255,130,68602592222064474212309,BUSINESS,XOF,6269857.79,2020-11-17,ACTIVE
256,130,7778097339776719903849,CHECKING,XOF,5412455.05,2026-01-22,ACTIVE
257,131,30220502099451016224999,SAVINGS,XOF,9209686.34,2026-02-20,CLOSED
258,132,27950145561681472145868,CHECKING,XOF,9783485.59,2020-02-22,ACTIVE
259,132,39019817946954899529978,SAVINGS,XOF,1009569.87,2025-01-15,ACTIVE
260,132,72934301071396605583034,CHECKING,XOF,294327.76,2020-11-25,ACTIVE
261,133,14488501556990235577027,CHECKING,XOF,3751536.69,2019-03-21,ACTIVE
262,134,78576084958803955124056,CHECKING,XOF,6819594.71,2025-08-30,ACTIVE
263,134,29962914504617357438421,CHECKING,XOF,6096870.41,2022-12-10,ACTIVE
264,134,3178078235784521823076,SAVINGS,XOF,4979184.19,2025-06-17,ACTIVE
265,135,10409157018409435334485,CHECKING,XOF,2543503.51,2024-01-29,ACTIVE
266,136,14224109881385854249321,SAVINGS,XOF,4655206.29,2021-11-14,ACTIVE
267,137,95870207016016629979545,CHECKING,XOF,4420089.19,2019-12-12,ACTIVE
268,137,81792171747733294562557,CHECKING,XOF,6391192.33,2024-11-13,ACTIVE
269,137,1715772459928161581487,CHECKING,XOF,8453812.73,2023-05-24,ACTIVE
270,138,96393827615396695832197,SAVINGS,XOF,1070999.41,2018-07-09,ACTIVE
271,138,99758172461919657013290,CHECKING,XOF,2962244.54,2019-01-26,ACTIVE
272,139,27846997335494651909862,BUSINESS,XOF,6584007.01,2021-07-30,ACTIVE
273,140,5800851403696566668327,SAVINGS,XOF,7784224.6,2018-12-10,CLOSED
274,140,38656242201027621267969,BUSINESS,XOF,7452995.68,2019-08-20,ACTIVE
275,140,78687653269097384689500,BUSINESS,XOF,7758531.09,2026-03-29,ACTIVE
276,141,75197128478189137189490,CHECKING,XOF,1905369.23,2022-06-02,ACTIVE
277,141,80778795654420949407929,SAVINGS,XOF,7675870.39,2017-06-14,ACTIVE
278,142,49047128144294440192927,SAVINGS,XOF,9034520.02,2022-11-12,ACTIVE
279,143,24372805129276637239504,SAVINGS,XOF,338478.49,2018-07-19,ACTIVE
280,143,2767478366742860476580,CHECKING,XOF,9096729.98,2018-03-26,ACTIVE
281,144,85694544149673938525800,CHECKING,XOF,1325937.18,2017-09-24,ACTIVE
282,144,6181753443009109391119,BUSINESS,XOF,5310869.48,2018-10-14,ACTIVE
283,145,69212447174654214066504,CHECKING,XOF,8247774.68,2021-01-28,ACTIVE
284,146,27173962712863917410119,SAVINGS,XOF,3390458.96,2020-11-02,ACTIVE
285,146,70720064256908776618306,BUSINESS,XOF,1411866.36,2024-10-10,BLOCKED
286,147,19855460158517432806346,SAVINGS,XOF,9799522.72,2018-05-23,BLOCKED
287,147,57173203093761847870050,SAVINGS,XOF,3660921.62,2022-04-27,ACTIVE
288,147,6138782931027079032020,CHECKING,XOF,5368040.22,2021-10-20,ACTIVE
289,148,17929111799313656519825,SAVINGS,XOF,2625303.28,2020-03-14,ACTIVE
290,148,9251142625827390219620,SAVINGS,XOF,3717879.04,2024-11-09,ACTIVE
291,148,10021946723248763290927,CHECKING,XOF,6197370.94,2018-01-26,BLOCKED
292,149,45608331819588373403127,BUSINESS,XOF,2217565.16,2025-01-14,ACTIVE
293,149,22005436459701082207811,SAVINGS,XOF,9094329.45,2020-07-30,ACTIVE
294,150,79956353153136363179706,CHECKING,XOF,458241.38,2019-01-15,ACTIVE
295,150,39726527354352090421776,BUSINESS,XOF,1165624.2,2019-06-27,ACTIVE
296,151,53492929831687397740633,CHECKING,XOF,4539169.35,2022-02-21,ACTIVE
297,151,69392906007806867177318,SAVINGS,XOF,9460010.99,2016-10-14,ACTIVE
298,151,63254310742799077262570,SAVINGS,XOF,1549456.41,2017-10-11,ACTIVE
299,152,65804649893195085016579,SAVINGS,XOF,6158443.88,2017-04-08,BLOCKED
300,153,55281832538179335548640,CHECKING,XOF,3708446.94,2017-08-26,ACTIVE
301,153,55778817884795137116241,BUSINESS,XOF,8555224.68,2018-06-08,ACTIVE
302,154,24127238046827567043103,CHECKING,XOF,9017453.64,2025-05-31,ACTIVE
303,154,56955798877492424375402,CHECKING,XOF,2762435.0,2022-08-01,BLOCKED
304,154,47292842222310592745238,BUSINESS,XOF,8242789.86,2017-03-01,ACTIVE
305,155,55257828410672752088547,SAVINGS,XOF,5973473.87,2021-07-03,ACTIVE
306,156,92975170281406937515093,CHECKING,XOF,1263609.23,2026-07-02,ACTIVE
307,156,83430187186375998056265,CHECKING,XOF,7652747.97,2023-02-22,ACTIVE
308,157,50455478137674266299123,SAVINGS,XOF,2333821.8,2021-09-25,ACTIVE
309,158,78519610646287923264870,CHECKING,XOF,8584769.23,2021-09-17,ACTIVE
310,158,94787300244714627301471,CHECKING,XOF,2510288.7,2022-09-23,ACTIVE
311,158,97964715890429025725204,SAVINGS,XOF,262672.6,2022-09-20,ACTIVE
312,159,65044818321928554451895,CHECKING,XOF,162731.93,2019-01-08,ACTIVE
313,160,2845765213283389888167,SAVINGS,XOF,5263224.84,2017-11-15,ACTIVE
314,161,12075452798524013223423,CHECKING,XOF,3623579.54,2018-10-16,ACTIVE
315,161,16110760310890714014011,CHECKING,XOF,2219389.82,2020-01-26,ACTIVE
316,162,93250124955289389119083,SAVINGS,XOF,8670474.17,2019-11-01,ACTIVE
317,162,42801387592712566383615,CHECKING,XOF,9640441.7,2018-09-05,ACTIVE
318,162,71827548015716479473864,CHECKING,XOF,4019164.46,2023-11-09,ACTIVE
319,163,31752071678112669121535,SAVINGS,XOF,4438405.48,2019-12-25,ACTIVE
320,163,96136749946579678427114,CHECKING,XOF,1487596.59,2024-11-24,ACTIVE
321,164,73201017026952499118773,SAVINGS,XOF,5485822.56,2021-07-27,ACTIVE
